topic,doc_id,label,doc_pred,-,bert_sentiment,lexicon_sentiment,topical,topic_similarity,tokens,entities,Column1,text,sent_id
Donald Trump,17,0,-1.368114591,,-0.2569713,-0.325581395,0,0,12,1,54,Blandt andet med krav om en mur på grænsen til Mexico.,18
Donald Trump,0,1,-0.912902772,,0.014353078,0.217821782,0,0,10,0,61,Blandt andet at priser skal fremgå af reklamer forlægemidler.,19
Boris Johnson,1,-1,-0.607252061,,-1.179274201,-0.186397985,0,0,20,0,91,Bag de barnlige ord gemmer sig dog en kedelig sandhed: At ingen af dem vil gå på kompromis.,13
Boris Johnson,5,1,-0.02347222,,-0.076415055,0.870056497,0,0,10,1,52,Både EU og briterne er stærkere sammen end adskilte.,6
Donald Trump,3,0,-1.768768549,,-1.21365273,-0.833333333,0,0,14,2,88,"Både den syriske regering og Rusland afviser billederne som forfalskninger, skriver AFP.",8
Joe Biden,0,1,-0.827449977,,1.237265468,0.901408451,0,0,13,0,60,At få et uomtvisteligt resultat vil i sig selv være en sejr.,25
Donald Trump,24,0,0.660881519,,-0.35791415,0.205741627,0,0,10,2,76,8. Forlader Eske Willerslev og hans forskningscenter Københavns Universitet?,52
Donald Trump,24,0,0.660881519,,0.828030109,1.170958422,0,0,11,0,75,4. Vinder de danske håndboldherrer guld ved verdensmesterskaberne i januar?,45
Donald Trump,16,0,-0.38944298,,0.524351418,0.075471698,0,0,17,1,80,4. USA's velfærdsstat er - modsat hvad mange hævder - en af de største i verden.,23
Donald Trump,4,-2,-1.094392061,,-0.36821726,-0.281938326,0,0,13,1,71,34 er sigtet: Robert Muellers undersøgelse kan være færdig inden længe.,0
Donald Trump,24,0,0.660881519,,-0.954134881,0.277511962,0,0,12,0,62,3. Falder værdien af 1 bitcoin til 500 dollars eller derunder?,6
Donald Trump,24,0,0.660881519,,-0.170082197,0.652291105,0,0,10,2,67,2018 1. Overlader dronning Margrethe tronen til kronprins Frederik?,2
Donald Trump,24,0,0.660881519,,-0.020456281,0.123044838,0,0,12,1,66,20. Vil der blive observeret to eller flere gribbearter i Danmark?,78
Donald Trump,24,0,0.660881519,,-0.63666153,-0.113207548,0,0,10,2,56,2. Stopper Lars Løkke Rasmussen som formand for Venstre?,42
Donald Trump,24,0,0.660881519,,-0.085699767,-0.401639344,0,0,13,2,74,"2. Bekendtgør Lisbet Dahl, at hun stopper som instruktør for Cirkusrevyen?",4
Donald Trump,24,0,0.660881519,,0.036033351,0,0,0,13,1,62,"19. Bliver sommeren den varmeste, der endnu er målt i Danmark?",76
Donald Trump,26,-1,-1.426555753,,-1.804188848,-0.786516854,0,0,9,0,50,17 DRÆBTE OG 14: Højreekstremist bag skoleskyderi.,0
Donald Trump,24,0,0.660881519,,1.227406621,1.181073703,0,0,9,0,51,15. Vinder en kvinde Oscaren for bedste instruktør?,29
Donald Trump,24,0,0.660881519,,-0.391119808,-0.27006247,0,0,12,0,69,12. Vil der komme en politisk aftale om at afskaffe 1000-kronesedlen?,60
Donald Trump,24,0,0.660881519,,-0.661396265,-0.694275917,0,0,11,1,64,11. Vil planerne om et udrejsecenter på Lindholm blive skrottet?,58
Donald Trump,41,-1,-1.200204968,,-1.052850842,-0.632911393,0,0,18,0,91,"""Væsentlig usikkerhed"" Det bemærkes også, at tallet er behæftet med ""væsentlig usikkerhed"".",9
Donald Trump,27,-2,-1.428882241,,-1.745080471,-0.451612903,0,0,16,1,84,"""Under præsidentvalget i 2016 kastede Rusland sig ud i et angreb på vores demokrati.",7
Donald Trump,28,2,-0.873057306,,0.116420925,1.0625,0,0,10,1,63,"""Trump er den mest populære republikanske præsident nogensinde.",20
Donald Trump,8,-2,-1.72256887,,-1.353609085,-0.430769231,0,0,17,0,92,"""Hun ville gøre undersøgelserne vanskelige for alle"", siger han til det amerikanske magasin.",3
Joe Biden,1,0,-1.149904132,,-0.997471273,0.137931034,0,0,18,1,69,"""Det var ikke, hvad grundlæggerne (af USA red.) tænkte,"" skriver han.",15
Boris Johnson,4,-1,-1.055706978,,-0.919533074,-0.085106383,0,0,15,0,64,"""Det er ikke noget, jeg nogensinde vil kunne forpligte mig til.""",5
Donald Trump,28,2,-0.873057306,,0.64031738,0.216216216,0,0,11,0,52,""" MADS FUGLEDE, VÆRT FOR PODCASTEN ""KAMPAGNESPORET"".",22
Donald Trump,38,-2,-1.374836683,,-0.803126931,-0.125,0,0,10,1,58,""" Indalik Høegh har svært ved at seGrønlandsom amerikansk.",17
Donald Trump,6,2,-0.724117875,,-0.282930702,0.036363636,0,0,18,0,68,"- Det har taget mange årtier at nå hertil, lad os se, hvad der sker.",16
Donald Trump,6,2,-0.724117875,,0.499768049,0.869565217,0,0,13,2,61,"- De behandler os med stor respekt, sagde Trump om Nordkorea.",19
